, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
49,61060,1881065,8,2,11607,26,5840,0,1450.875,2063.768774,20,6,13.0,9.899494937,6184.262638,5.316137401,209007.2222,626693.9372,1880191,1,1881065,268723.5714,710590.3718,1880191,1,49,49.0,0.0,49,49,0,0,0,0,184,40,4.252909921,1.06322748,0,5840,1057.545455,1853.437529,3435230.673,0,0,0,1,0,0,0,0,0,1163.3,1450.875,13.0,184,0,0,0,0,0,0,8,11607,2,26,8192,256,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
86,80,1263967,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,23.73479687,3.955799479,315991.75,631318.3388,1262969,1,1263967,315991.75,631318.3388,1262969,1,0,0.0,0.0,0,0,0,0,0,0,100,0,3.955799479,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
54,80,1248991,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,24.01938845,4.003231408,312247.75,621828.7392,1244989,3,1248991,312247.75,621828.7392,1244989,3,0,0.0,0.0,0,0,0,0,0,0,100,0,4.003231408,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
78,80,29423,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,395370.9683,237.9091187,4903.833333,11662.85516,28707,13,625,312.5,372.6452737,576,49,29390,9796.666667,16380.12339,28707,13,0,0,0,0,72,92,101.9610509,135.9480678,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
64,80,574178,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,20260.26772,15.67458175,71772.25,202372.0773,572617,3,1125,562.5,726.1986643,1076,49,574059,114811.8,255921.345,572617,3,0,0,0,0,72,132,5.224860583,10.44972117,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
41,53,195,2,2,68,100,34,34,34.0,0.0,50,50,50.0,0.0,861538.4615,20512.82051,65.0,29.44486373,99,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,64,64,10256.41026,10256.41026,34,50,40.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,50.5,34.0,50.0,64,0,0,0,0,0,0,2,68,2,100,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
85,80,868722,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,13390.93519,9.208929899,124103.1429,327925.8572,867769,3,705,352.5,248.1944802,528,177,868678,217169.5,433733.1188,867769,3,0,0,0,0,72,112,3.453348712,5.755581187,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
93,80,21968,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,529269.8471,364.1660597,3138.285714,7444.171718,19998,9,20074,10037.0,14181.7336,20065,9,21901,5475.25,9943.225378,20375,189,0,0,0,0,72,112,136.5622724,227.6037873,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
83,80,515013,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,22587.77934,17.47528703,64376.625,181674.619,513998,3,858,429.0,472.3473298,763,95,514961,102992.2,229759.5077,513998,3,0,0,0,0,72,132,5.825095677,11.65019135,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
61,80,1486281,3,6,26,11607,20,0,8.666666667,10.26320288,5755,0,1934.5,2529.124572,7826.918328,6.055382529,185785.125,525173.8506,1485524,3,615,307.5,430.6280297,612,3,1486263,297252.6,664263.9639,1485524,12,0,0,0,0,72,132,2.018460843,4.036921686,0,5755,1163.3,2131.87096,4544873.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
58,80,6254002,8,7,56,11601,20,0,7.0,5.656854249,5840,0,1657.285714,1964.895647,1863.926491,2.398464215,446714.4286,1630117.739,6109785,3,6167305,881043.5714,2305694.092,6109785,3,111077,18512.83333,34552.51561,86200,48,0,0,0,0,172,152,1.279180915,1.119283301,0,5840,728.9375,1503.11044,2259340.996,0,0,0,0,1,0,0,0,0,777.5333333,7.0,1657.285714,172,0,0,0,0,0,0,8,56,7,11601,256,229,6,20,33066.0,0.0,33066,33066,6109785.0,0.0,6109785,6109785,Malicious
74,80,8791453,8,4,56,11601,20,0,7.0,5.656854249,8760,0,2900.25,4128.319301,1325.946917,1.364962083,799223.0,1999880.278,6475824,125,8789094,1255584.857,2449016.845,6475824,280,60223,20074.33333,33021.50091,58201,578,0,0,0,0,172,92,0.909974722,0.454987361,0,8760,897.1538462,2488.507044,6192667.308,0,0,0,0,1,0,0,0,0,971.9166667,7.0,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,2255281.0,0.0,2255281,2255281,6475824.0,0.0,6475824,6475824,Malicious
62,80,1105642,3,6,26,11607,20,0,8.666666667,10.26320288,5755,0,1934.5,2529.124572,10521.48887,8.140067038,138205.25,389271.3467,1101601,45,2793,1396.5,1245.215042,2277,516,1105597,221119.4,492205.4388,1101601,51,0,0,0,0,72,132,2.713355679,5.426711359,0,5755,1163.3,2131.87096,4544873.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
63,80,98972239,8,7,56,11601,20,0,7.0,5.656854249,4380,0,1657.285714,1561.969346,117.7805021,0.15155765,7069445.643,24400000.0,91800000,4,98300000,14000000.0,34400000.0,91800000,33,718035,119672.5,288965.1431,709484,14,0,0,0,0,172,152,0.080830747,0.070726904,0,4380,728.9375,1300.351618,1690914.329,0,0,0,0,1,0,0,0,0,777.5333333,7.0,1657.285714,172,0,0,0,0,0,0,8,56,7,11601,256,229,6,20,2180.0,0.0,2180,2180,49100000.0,60300000.0,91800000,6501647,Malicious
95,80,698113,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,42.97298575,7.162164291,174528.25,348117.2281,696704,317,698113,174528.25,348117.2281,696704,317,0,0.0,0.0,0,0,0,0,0,0,100,0,7.162164291,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
24,80,20473,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,586.1378401,97.68964001,20473.0,0.0,20473,20473,20473,20473.0,0.0,20473,20473,0,0.0,0.0,0,0,0,0,0,0,40,0,97.68964001,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,63368,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
91,80,71305,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,163060.094,126.2183578,8913.125,19926.53946,56741,16,14260,7130.0,9775.044143,14042,218,71241,14248.2,24532.71446,56741,16,0,0,0,0,72,132,42.07278592,84.14557184,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
68,80,2945943,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,10.18349642,1.697249404,736485.75,1472306.241,2944945,0,2945943,736485.75,1472306.241,2944945,0,0,0.0,0.0,0,0,0,0,0,0,100,0,1.697249404,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
43,46117,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,31,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
6,63174,11998619,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,3.00034529,0.500057548,2399723.8,5353126.722,12000000,3,0,0.0,0.0,0,0,12000000,2998924.5,5984508.702,12000000,3,0,0,0,0,20,100,0.083342925,0.416714624,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,22941.0,0.0,22941,22941,12000000.0,0.0,12000000,12000000,BENIGN
21,53,60153,1,1,47,79,47,47,47.0,0.0,79,79,79.0,0.0,2094.658621,33.24854953,60153.0,0.0,60153,60153,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,16.62427477,16.62427477,47,79,57.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,86.5,47.0,79.0,20,0,0,0,0,0,0,1,47,1,79,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
28,8080,6120006,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.490195598,3060003.0,28284.27125,3080003,3040003,6120006,3060003.0,28284.27125,3080003,3040003,0,0.0,0.0,0,0,0,0,0,0,92,0,0.490195598,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,92,0,0,0,0,0,0,3,0,0,0,8192,-1,0,28,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
70,80,2059002,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,14.57016555,2.428360924,514750.5,1027485.993,2055979,4,2059002,514750.5,1027485.993,2055979,4,0,0.0,0.0,0,0,0,0,0,0,100,0,2.428360924,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
90,80,759277,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,15321.1542,10.53633918,108468.1429,286622.1754,758466,3,588,294.0,411.5361467,585,3,759231,189807.75,379105.5856,758466,3,0,0,0,0,72,112,3.951127191,6.585211985,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
31,32002,10073542,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,3.573718162,0.595619694,2014708.4,4487768.895,10000000,1,0,0.0,0.0,0,0,10100000,2517935.5,5016490.418,10000000,1,0,0,0,0,20,100,0.099269949,0.496349745,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,30899.0,0.0,30899,30899,10000000.0,0.0,10000000,10000000,BENIGN
16,60731,6114189,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,5.887943601,0.981323934,1222837.8,2719906.334,6088324,3,0,0.0,0.0,0,0,6112356,1528089.0,3040175.212,6088324,3,0,0,0,0,20,100,0.163553989,0.817769945,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,25865.0,0.0,25865,25865,6088324.0,0.0,6088324,6088324,BENIGN
80,80,83904473,8,4,56,11607,20,0,7.0,5.656854249,11595,0,2901.75,5795.50069,139.0033163,0.143019789,7627679.364,21600000.0,72200000,4,82000000,11700000.0,26900000.0,72200000,4,1877136,625712.0,1082950.145,1876195,5,0,0,0,0,172,92,0.095346526,0.047673263,0,11595,897.6153846,3214.167532,10300000.0,0,0,0,0,1,0,0,0,0,972.4166667,7.0,2901.75,172,0,0,0,0,0,0,8,56,4,11607,256,229,6,20,7038.0,0.0,7038,7038,41000000.0,44100000.0,72200000,9826715,Malicious
79,80,1797356,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,6468.946608,5.007355248,224669.5,633412.7038,1792283,15,4756,2378.0,1821.507068,3666,1090,1797304,359460.8,800974.5301,1792283,15,0,0,0,0,72,132,1.669118416,3.338236832,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
40,51290,3634223,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,9.905831315,1.650971886,726844.6,1607686.807,3602685,3,0,0.0,0.0,0,0,3632918,908229.5,1796349.803,3602685,3,0,0,0,0,20,100,0.275161981,1.375809905,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
26,60321,4,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,40,0,500000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,15544,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
60,80,83772,3,6,26,11607,20,0,8.666666667,10.26320288,5755,0,1934.5,2529.124572,138865.0146,107.434465,10471.5,29179.29578,82683,3,963,481.5,611.6473657,914,49,83723,16744.6,36862.71577,82683,3,0,0,0,0,72,132,35.81148833,71.62297665,0,5755,1163.3,2131.87096,4544873.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
97,80,46855,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,248276.598,192.081955,5856.875,16249.79435,46071,2,603,301.5,331.6330804,536,67,46830,9366.0,20520.5089,46071,2,0,0,0,0,72,132,64.02731832,128.0546366,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
8,443,6072862,5,2,135,52,46,6,27.0,20.1246118,46,6,26.0,28.28427125,30.79273002,1.152669038,1012143.667,2318107.762,5741259,49,6072862,1518215.5,2817271.546,5741259,49,6031360,6031360.0,0.0,6031360,6031360,1,0,0,0,100,40,0.823335027,0.329334011,6,46,29.125,19.80935926,392.4107143,0,1,0,0,1,0,0,0,0,33.28571429,27.0,26.0,100,0,0,0,0,0,0,5,135,2,52,258,360,4,20,249297.0,0.0,249297,249297,5741259.0,0.0,5741259,5741259,BENIGN
14,53,238270,4,2,152,164,38,38,38.0,0.0,82,82,82.0,0.0,1326.22655,25.18151677,47654.0,65337.66996,124537,3,113685,37895.0,65623.94112,113671,3,48,48.0,0.0,48,48,0,0,0,0,104,40,16.78767784,8.393838922,38,82,50.57142857,21.4698016,460.952381,0,0,0,0,0,0,0,0,0,59.0,38.0,82.0,104,0,0,0,0,0,0,4,152,2,164,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
45,443,10229287,9,9,777,6512,429,0,86.33333333,145.7223387,2996,0,723.5555556,1031.094335,712.5618824,1.759653434,601722.7647,2415436.832,9974668,3,10200000,1278560.375,3513825.604,9974668,3302,10200000,1271940.75,3527387.521,10000000,3,0,0,0,0,192,192,0.879826717,0.879826717,0,2996,383.6315789,769.4770382,592094.9123,0,0,0,1,0,0,0,0,1,404.9444444,86.33333333,723.5555556,192,0,0,0,0,0,0,9,777,9,6512,8192,239,8,20,253815.0,0.0,253815,253815,9974668.0,0.0,9974668,9974668,BENIGN
75,80,10183758,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.356693865,0.392782311,3394586.0,5878737.212,10200000,2,10200000,3394586.0,5878737.212,10200000,2,0,0.0,0.0,0,0,0,0,0,0,80,0,0.392782311,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,991.0,0.0,991,991,10200000.0,0.0,10200000,10200000,Malicious
30,80,5197536,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.769595439,1732512.0,2928382.15,5113570,65,5197536,2598768.0,3556467.095,5113570,83966,0,0.0,0.0,0,0,0,0,0,0,104,44,0.577196579,0.19239886,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,4380,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
65,80,31839,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,365181.0672,251.2641729,4548.428571,11166.29877,29863,2,29972,14986.0,21190.57602,29970,2,31732,7933.0,14807.6367,30141,202,0,0,0,0,72,112,94.22406483,157.040108,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
3,57047,74375825,8,10,11607,68,2920,0,1450.875,1337.000421,20,0,6.8,5.006662228,156.9730487,0.242014122,4375048.529,16100000.0,66500000,1,74400000,10600000.0,27600000.0,73100000,17,73200000,8128577.667,22000000.0,66500000,1,0,0,0,0,172,212,0.107561832,0.13445229,0,2920,614.7894737,1109.871493,1231814.731,0,0,0,0,1,1,0,0,1,648.9444444,1450.875,6.8,172,0,0,0,0,0,0,8,11607,10,68,229,256,6,20,7777.0,0.0,7777,7777,36600000.0,42300000.0,66500000,6632776,BENIGN
13,55332,27,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,444444.4444,74074.07407,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,37037.03704,37037.03704,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,123,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
11,80,115355951,26,31,432,30234,288,0,16.61538462,55.36430397,2860,0,975.2903226,936.8545313,265.8380407,0.494122752,2059927.696,4013362.45,10000000,0,115000000,4614238.04,4995967.457,10100000,175,111000000,3684131.2,4918392.28,10100000,47,0,0,0,0,532,764,0.225389326,0.268733427,0,2860,528.7241379,834.4319802,696276.7296,0,0,0,1,0,0,0,0,1,538.0,16.61538462,975.2903226,532,0,0,0,0,0,0,26,432,31,30234,8192,343,25,20,45330.36364,26996.69332,126728,37074,10000000.0,4805.526777,10000000,9999498,BENIGN
48,54104,71365709,7,10,11607,68,4380,0,1658.142857,1762.272815,20,0,6.8,5.006662228,163.5939748,0.238209642,4460356.813,15000000.0,59600000,1,71400000,11900000.0,28900000.0,70800000,16,70800000,7871001.889,19800000.0,59600000,1,0,0,0,0,152,212,0.098086323,0.140123319,0,4380,648.9444444,1335.050141,1782358.879,0,0,0,0,1,1,0,0,1,687.1176471,1658.142857,6.8,152,0,0,0,0,0,0,7,11607,10,68,229,256,5,20,27852.0,0.0,27852,27852,35400000.0,34300000.0,59600000,11100000,BENIGN
99,80,81809464,8,4,56,11607,20,0,7.0,5.656854249,11595,0,2901.75,5795.50069,142.562968,0.146682296,7437224.0,21300000.0,70900000,4,81000000,11600000.0,26400000.0,70900000,129,827715,275905.0,477194.8813,826922,4,0,0,0,0,172,92,0.097788197,0.048894099,0,11595,897.6153846,3214.167532,10300000.0,0,0,0,0,1,0,0,0,0,972.4166667,7.0,2901.75,172,0,0,0,0,0,0,8,56,4,11607,256,229,6,20,1000.0,0.0,1000,1000,40500000.0,43000000.0,70900000,10100000,Malicious
69,80,3409017,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,7.040152631,1.173358772,1136339.0,1967639.162,3408373,321,3409017,1136339.0,1967639.162,3408373,321,0,0.0,0.0,0,0,0,0,0,0,80,0,1.173358772,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
96,80,2659083,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,11.28208484,1.880347473,664770.75,1328810.17,2657986,272,2659083,664770.75,1328810.17,2657986,272,0,0.0,0.0,0,0,0,0,0,0,100,0,1.880347473,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
9,80,115551301,18,15,960,1598,435,0,53.33333333,138.8587941,796,0,106.5333333,279.9269973,22.13735352,0.285587438,3610978.156,4764703.0,9997076,56,116000000,6797135.353,4613899.59,10000000,201,110000000,7889756.429,4232186.16,10000000,841,0,0,0,0,372,444,0.155774966,0.129812472,0,796,75.23529412,209.8921886,44054.73084,0,0,0,1,0,0,0,0,0,77.51515152,53.33333333,106.5333333,372,0,0,0,0,0,0,18,960,15,1598,8192,290,17,20,63365.36364,131519.6738,459912,23553,9978133.091,58971.27529,9997076,9800561,BENIGN
84,80,99591,2,6,20,11601,20,0,10.0,14.14213562,5840,0,1933.5,2189.772933,116687.2509,80.32854374,14227.28571,35419.10383,94457,16,4750,4750.0,0.0,4750,4750,99510,19902.0,41727.52828,94457,16,0,0,0,0,52,132,20.08213594,60.24640781,0,5840,1291.222222,1981.198108,3925145.944,0,0,0,1,0,0,0,0,3,1452.625,10.0,1933.5,52,0,0,0,0,0,0,2,20,6,11601,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
81,80,11963696,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.507586284,0.417931047,2990924.0,5980516.018,12000000,3,12000000,2990924.0,5980516.018,12000000,3,0,0.0,0.0,0,0,0,0,0,0,100,0,0.417931047,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1998.0,0.0,1998,1998,12000000.0,0.0,12000000,12000000,Malicious
